"Origin ID","Destination ID","Duration","Distance","Origin snap distance","Destination snap distance"
110,2,9.8812,9276.2912,312.1358,80.7594
110,3,22.6788,22382.1121,312.1358,87.6054
110,4,13.8412,17621.5192,312.1358,161.5849
110,5,12.7076,13910.5946,312.1358,159.266
111,1,13.5163,14797.2629,261.3043,502.6552
111,2,9.4048,8829.1107,261.3043,80.7594
111,3,21.3007,22394.8704,261.3043,87.6054
111,4,13.415,17322.4701,261.3043,161.5849
111,5,12.2814,13611.5456,261.3043,159.266
112,1,12.8667,14086.351,619.9153,502.6552
112,2,8.8054,8266.3302,619.9153,80.7594
112,3,23.5796,24927.617,619.9153,87.6054
112,4,12.7653,15542.1281,619.9153,161.5849
112,5,11.6318,12900.6336,619.9153,159.266
